project,find change time,test time,restoring time,find imm time,transformation time,analysis time,execution time,imm e2e
agarciadom-xeger,2.055,83.637,0,0.046,0.043,2.144,87.312,89.456
MezereonXP-AnomalyDetectTool,4.904,107.102,0.004,0.153,0.142,5.203,113.415,118.618
LiveRamp-HyperMinHash-java,1.684,308.108,0,0.039,0.026,1.749,311.935,313.684
danieldk-dictomaton,2.78,347.438,0.007,0.15,0.72,3.657,350.98,354.637
davidmoten-rtree-multi,27.284,1323.94,0.068,0.695,3.03,31.077,1344.824,1375.901
huaban-jieba-analysis,5.864,1471.81,0.006,0.305,3.244,9.419,1482.029,1491.448
mocnik-science-geogrid,3.367,317.116,0.003,0.073,8.649,12.092,322.202,334.294
sbesada-java.math.expression.parser,3.046,268.864,0.001,0.147,0.072,3.266,275.846,279.112
myui-btree4j,10.472,933.644,0.005,0.297,0.398,11.172,949.46,960.632
cowtowncoder-java-uuid-generator,32.355,1167.352,0.028,0.907,0.586,33.876,1254.218,1288.094
albfernandez-javadbf,43.062,380.437,0.061,1.752,0.93,45.805,450.781,496.586
almson-almson-refcount,1.378,71.756,0.003,0.098,0.057,1.536,77.882,79.418
fusion-jena-JaroWinklerSimilarity,6.566,929.544,0.005,0.211,0.464,7.246,942.944,950.19
jingpeicomp-id-generator,1.062,166.459,0,0.113,0.19,1.365,171.334,172.699
eightbitjim-cassette-nibbler,19.203,1832.935,0.047,0.692,0.857,20.799,1856.732,1877.531
StarlangSoftware-TurkishDeasciifier,9.363,6158.014,0.015,0.541,13.886,23.805,6173.189,6196.994
fraunhoferfokus-Fuzzino,23.327,8631.594,0.124,1.248,1.31,26.009,8686.545,8712.554
solita-functional-utils,49.47,1448.87,0.089,3.752,5.573,58.884,1711.576,1770.46
dakusui-jcunit,3.137,516.701,0.012,0.164,0.531,3.844,523.404,527.248
wiqer-ef-redis,6.386,510.515,0.028,0.137,0.087,6.638,520.146,526.784
indeedeng-vowpal-wabbit-java,1.928,453.193,0.008,0.16,0.041,2.137,458.512,460.649
zhoujianling-PointCloudUtilities,44.486,2463.789,0.107,1.958,114.72,161.271,2554.75,2716.021
StarlangSoftware-TurkishPropBank,1.778,64.26,0.001,1.083,0.026,2.888,69.718,72.606
houbb-sensitive-word,33.989,1492.101,0.049,1.221,7.862,43.121,1561.906,1605.027
Grundlefleck-ASM-NonClassloadingExtensions,8.911,444.3,0.007,0.265,0.148,9.331,457.376,466.707
StarlangSoftware-TurkishSpellChecker,22.17,4134.516,0.041,1.863,157.022,181.096,4168.114,4349.21
Antibrumm-jackson-antpathfilter,10.035,272.983,0.017,0.229,0.525,10.806,286.875,297.681
octavian-h-time-series-math,29.984,1464.051,0.063,0.347,14.319,44.713,1498.15,1542.863
StarlangSoftware-TurkishSentiNet,2.016,86.074,0.001,0.094,0.791,2.902,91.009,93.911
dperezcabrera-jpoker,26.665,960.965,0.086,0.567,0.728,28.046,994.075,1022.121
davidmoten-rtree,52.074,2700.828,0.164,2.293,3.61,58.141,2744.06,2802.201
codelion-gramtest,27.142,5252.03,0.021,0.491,0.676,28.33,5308.072,5336.402
conveyal-osm-lib,16.545,1633.081,0.068,0.564,19.381,36.558,1664.89,1701.448
StarlangSoftware-TurkishMorphologicalAnalysis,28.851,3488.16,0.059,1.118,6.935,36.963,3527.454,3564.417
houbb-segment,25.06,1099.864,0.1,0.855,20.797,46.812,1146.91,1193.722
StarlangSoftware-TurkishMorphologicalDisambiguation,14.609,5770.879,0.035,0.371,2.295,17.31,5791.877,5809.187
JetBrains-jetCheck,22.007,568.471,0.03,0.679,1.075,23.791,597.604,621.395
aelstad-keccakj,15.235,404.989,0.008,0.546,1.594,17.383,425.89,443.273
albfernandez-itext2,17.624,855.599,0.175,1.557,0.996,20.352,875.818,896.17
apache-commons-jxpath,24.269,841.043,0.124,1.298,10.798,36.489,981.454,1017.943
apache-sling-org-apache-sling-scripting-sightly,64.62,1820.247,0.254,1.448,1.439,67.761,2003.516,2071.277
bdupras-guava-probably,28.776,899.301,0.081,0.787,0.67,30.314,948.405,978.719
contentful-contentful.java,85.371,2651.32,0.348,2.747,2.503,90.969,2730.45,2821.419
cowtowncoder-java-cachemate,8.869,115.279,0.007,0.361,0.231,9.468,147.134,156.602
Francesco149-koohii,6.528,47.805,0.004,0.438,1.123,8.093,61.728,69.821
HdrHistogram-HdrHistogram,2.13,45.203,0.004,0.121,0.573,2.828,51.216,54.044
hoijui-Jawk,7.528,149.762,0.01,0.274,0.189,8.001,162.908,170.909
iris-edu-stationxml-seed-converter,20.911,1182.394,0.049,1.79,2.283,25.033,1226.53,1251.563
ITArray-automotion-java,47.958,1439.943,0.168,2.514,5.787,56.427,1519.005,1575.432
jenkins-infra-update-center2,15.333,1868.789,0.075,0.247,0.465,16.12,1886.73,1902.85
kungfoo-geohash-java,21.699,319.874,0.016,0.831,38.018,60.564,362.758,423.322
leonhad-paradoxdriver,49.011,897.794,0.214,3.568,1.764,54.557,1038.555,1093.112
PeterisP-morphology,32.288,6586.582,0.104,3.855,7.123,43.37,6640.134,6683.504
Progether-JAdventure,23.743,280.052,0.023,0.526,0.468,24.76,315.909,340.669
andylamp-BPlusTree,6.277,1878.892,0.004,0.244,0.303,6.828,1893.169,1899.997
apache-dubbo-hessian-lite,6.778,79.839,0.007,0.343,0.145,7.273,90.758,98.031
apanimesh061-VaderSentimentJava,18.35,952.059,0.03,1.074,1.245,20.699,987.813,1008.512
davidmoten-hilbert-curve,42.169,1088.634,0.031,1.508,2.307,46.015,1165.681,1211.696
Fundynamic-dune2themaker4j,61.414,1333.147,0.118,3.34,1.887,66.759,1408.432,1475.191
HelixNetwork-pendulum,79.172,10431.304,0.298,4.974,251.134,335.578,10527.157,10862.735
jarslab-babel-maven-plugin,16.617,544.758,0.046,1.23,0.625,18.518,558.078,576.596
jnr-jnr-ffi,51.752,4520.037,0.143,4.203,1.637,57.735,4613.683,4671.418
killbilling-recurly-java-library,48.749,3637.004,0.136,1.398,19.102,69.385,3704.971,3774.356
MagicTheGathering-mtg-sdk-java,23.113,789.938,0.037,0.256,0.946,24.352,811.576,835.928
Mastercard-oauth1-signer-java,17.22,444.516,0.027,1.237,0.566,19.05,486.509,505.559
OWASP-url-classifier,19.993,773.987,0.094,0.855,1.82,22.762,811.87,834.632
robert-bor-aho-corasick,25.634,289.277,0.014,0.802,0.921,27.371,327.849,355.22
searls-jasmine-maven-plugin,24.645,1208.974,0.121,1.971,1.202,27.939,1257.525,1285.464
apache-commons-imaging,23.143,3112.377,0.243,2.65,2.157,28.193,3252.838,3281.031
apache-sling-org-apache-sling-servlets-resolver,67.715,1917.458,0.18,0.898,1.379,70.172,2141.57,2211.742
fortitudetec-sonar-ruby-plugin,5.311,466.432,0.012,0.237,24.576,30.136,473.227,503.363
hageldave-ezFFTW,12.662,323.693,0.021,0.411,0.632,13.726,381.935,395.661
j256-simplemagic,37.721,340.182,0.046,1.561,0.936,40.264,401.29,441.554
JavaMoney-jsr354-ri-bp,3.912,409.046,0.008,0.172,0.116,4.208,424.803,429.011
kamaladafrica-codice-fiscale,11.85,481.903,0.038,0.401,0.201,12.49,503.365,515.855
kohsuke-wordnet-random-name,1.674,25.589,0.001,0.063,0.036,1.774,32.522,34.296
kolchagov-java-crud-api,6.152,121.263,0.021,0.341,0.914,7.428,128.673,136.101
NLPchina-ansj_seg,14.869,450.927,0.108,1.285,5.543,21.805,473.546,495.351
serg472-htmlcompressor,10.851,799.557,0.037,0.386,0.408,11.682,811.524,823.206
theborakompanioni-thymeleaf-extras-shiro,5.351,96.349,0.007,0.591,2.058,8.007,117.131,125.138
tkutcher-jgrade,12.767,124.508,0.01,0.339,0.294,13.41,142.273,155.683
uwolfer-gerrit-rest-java-client,66.377,2564.008,0.318,4.971,3.245,74.911,2629.525,2704.436
vangj-jbayes,51.493,1212.746,0.14,1.41,1.625,54.668,1282.076,1336.744
yomorun-hashids-java,4.892,354.314,0.004,0.447,4.251,9.594,379.149,388.743
ysc-word,18.29,11472.063,0.112,1.945,0.564,20.911,11495.915,11516.826
zencoder-zencoder-java,6.657,335.671,0.013,0.487,0.431,7.588,348.927,356.515
Ingenico-ePayments-connect-sdk-java,61.544,1602.209,0.208,4.107,2.698,68.557,1680.038,1748.595
jdbc-observations-datasource-proxy,96.385,3159.795,0.276,2.949,3.052,102.662,3226.166,3328.828
Kuangcp-NettyBook2,3.578,58.316,0.004,0.158,0.055,3.795,65.803,69.598
lbehnke-hierarchical-clustering-java,10.772,82.213,0.008,0.418,1.064,12.262,98.081,110.343
OnlineCodex-OnlineCodex,49.976,2036.796,0.047,4.911,9.443,64.377,2102.094,2166.471
opengeospatial-ets-ogcapi-features10,39.417,2104.423,0.117,2.624,36.941,79.099,2143.788,2222.887
osglworks-java-tool,7.824,313.206,0.031,0.736,0.38,8.971,327.3,336.271
pagehelper-Mybatis-PageHelper,65.351,3381.045,0.223,2.91,2.765,71.249,3451.412,3522.661
qoomon-banking-swift-messages-java,18.12,514.308,0.048,0.641,0.442,19.251,525.776,545.027
radkovo-Pdf2Dom,6.804,270.976,0.026,0.672,1.348,8.85,278.141,286.991
sangupta-murmur,1.168,353.689,0.002,0.123,27.915,29.208,359.168,388.376
Sayi-swagger-diff,7.648,225.387,0.016,0.596,0.376,8.636,237.03,245.666
tdebatty-java-LSH,9.374,1246.291,0.009,0.268,78.301,87.952,1273.895,1361.847
thomasmueller-minperf,9.061,366.443,0.012,0.211,0.229,9.513,377.369,386.882
ThoughtWire-hazelcast-locks,7.41,729.162,0.005,0.293,0.176,7.884,743.765,751.649
tomwhite-set-game,9.411,1748.389,0.032,0.183,0.175,9.801,1760.815,1770.616
xcsp3team-XCSP3-Java-Tools,16.372,282.752,0.017,0.975,0.538,17.902,305.157,323.059
zhkl0228-TraceReader,13.804,113.809,0.008,0.507,0.314,14.633,135.677,150.31
