pid,project,sha,test,mop,gen,imm,supported-imm,unsupported-methods,gen-traces,imm-traces,imm,ps1c,imm+ps1c,imm+ps1c-traces,ps3cl,imm+ps3cl,imm+ps3cl-traces
P1,agarciadom/xeger,6,5.9,70.7,84.8,89.5,9,5,5504,5485,89.5,31.1,31.9,2177,11.4,13.5,685
P2,albfernandez/javadbf,50,178.3,863.0,487.8,496.6,106,191,13377,11646,496.6,729.3,493.0,8827,456.3,376.9,5822
P4,almson/almson-refcount,6,40.6,229.0,80.0,79.4,13,11,76,76,79.4,226.9,73.9,59,203.1,69.3,40
P5,Antibrumm/jackson-antpathfilter,13,21.6,633.7,312.1,297.7,37,20,4337,2968,297.7,492.0,237.7,2604,113.1,72.3,594
P8,codelion/gramtest,31,82.6,9929.4,8481.0,5336.4,92,39,19184,11189,5336.4,11071.1,5343.2,10286,8134.2,3188.2,5149
P9,conveyal/osm-lib,18,201.7,1815.1,2269.9,1701.4,144,171,51762,36581,1701.4,1823.8,1500.4,36406,966.5,1020.5,16876
P10,cowtowncoder/java-uuid-generator,50,124.4,683.5,1437.2,1288.1,71,64,5088,3963,1288.1,538.5,1060.0,2471,511.3,1118.6,1788
P11,danieldk/dictomaton,6,17.0,434.0,489.8,354.6,144,50,82822,50849,354.6,389.3,261.9,36583,235.5,188.6,30246
P13,davidmoten/rtree,50,250.9,4201.8,4360.6,2802.2,601,434,137158,95678,2802.2,3699.2,2273.1,82206,2329.9,1407.9,59272
P15,davidmoten/rtree-multi,26,114.8,1432.6,1591.4,1375.9,267,337,726043,710298,1375.9,1265.2,1081.1,562167,497.9,465.8,322923
P16,dperezcabrera/jpoker,27,111.6,3336.5,3454.0,1022.1,104,63,44450,39322,1022.1,2854.7,790.4,20698,1373.1,296.7,4722
P18,fraunhoferfokus/Fuzzino,23,251.9,2687.0,9114.6,8712.6,201,221,147072,140912,8712.6,2618.9,7910.0,121533,906.6,1273.6,28178
P20,Grundlefleck/ASM-NonClassloadingExtensions,13,279.3,613.9,637.7,466.7,16,18,2441,1762,466.7,492.2,451.0,1707,341.8,319.3,579
P22,houbb/sensitive-word,44,136.6,5654.8,5189.2,1605.0,71,56,7715,6326,1605.0,4554.2,1499.3,5102,3372.6,1150.3,3669
P23,huaban/jieba-analysis,17,90.1,3016.4,3081.0,1491.4,47,31,11864,10440,1491.4,3389.8,1446.5,10438,1999.3,1135.4,7116
P27,LiveRamp/HyperMinHash-java,6,263.2,539.2,592.3,313.7,11,0,432,166,313.7,343.6,247.2,160,312.7,210.9,123
P29,MezereonXP/AnomalyDetectTool,11,17.4,94.4,119.3,118.6,45,34,6831,4955,118.6,63.9,88.6,2942,52.5,86.0,2151
P31,mocnik-science/geogrid,9,74.2,318.4,465.5,334.3,9,4,567,279,334.3,286.3,272.1,279,215.0,259.1,172
P32,myui/btree4j,22,393.4,1092.1,1033.6,960.6,30,31,32816,26033,960.6,764.2,652.6,18905,630.1,589.4,18518
P33,octavian-h/time-series-math,25,77.3,954.5,1521.9,1542.9,74,10,3874272,3735618,1542.9,336.9,650.7,1325226,159.7,222.9,241440
P36,solita/functional-utils,50,86.4,741.2,1388.7,1770.5,79,158,44088,29152,1770.5,1473.2,2039.6,27127,1360.7,1813.4,25110
P38,StarlangSoftware/TurkishDeasciifier,13,320.9,7107.2,7446.1,6197.0,105,85,942180,929249,6197.0,7808.2,6135.7,925888,4934.6,4415.7,564209
P39,StarlangSoftware/TurkishPropBank,4,17.9,66.2,82.5,72.6,8,6,339,190,72.6,74.5,77.9,190,64.4,67.5,190
P40,StarlangSoftware/TurkishSentiNet,5,9.8,128.0,165.7,93.9,6,0,140,101,93.9,138.8,94.6,82,80.6,91.4,74
P41,StarlangSoftware/TurkishSpellChecker,27,409.5,4499.6,5102.7,4349.2,272,134,368700,326530,4349.2,4720.7,4111.3,319956,2411.9,2808.2,134287
P43,wiqer/ef-redis,9,35.2,372.7,600.8,526.8,5,15,693,616,526.8,214.2,149.1,450,205.0,198.0,154
P44,zhoujianling/PointCloudUtilities,50,240.6,2729.6,4668.5,2716.0,300,199,1910033,422116,2716.0,2075.9,2039.9,362242,861.2,1169.8,195507
P48,StarlangSoftware/TurkishMorphologicalAnalysis,33,823.5,4029.5,3976.6,3564.4,222,253,1663767,916903,3564.4,4309.1,3425.0,888741,2366.2,2109.0,645498
P49,houbb/segment,29,76.9,1186.0,1583.8,1193.7,126,136,22900,8807,1193.7,850.7,875.6,7596,460.4,516.1,5213
P51,JetBrains/jetCheck,25,70.6,638.2,747.8,621.4,196,168,200692,73693,621.4,566.9,549.1,62597,553.7,497.0,61574
P52,apanimesh061/VaderSentimentJava,22,84.6,1056.9,1023.9,1008.5,159,37,75069,69431,1008.5,976.2,949.3,65487,619.9,634.8,52759
P53,zhkl0228/TraceReader,19,38.3,138.7,160.7,150.3,52,48,1312,1264,150.3,164.7,161.0,1264,111.3,132.7,949
P55,apache/commons-imaging,31,816.1,5495.6,4644.4,3281.0,435,278,264749,129005,3281.0,3151.6,2543.4,104084,1888.9,1837.6,48258
P57,ysc/word,11,769.6,15359.1,11229.5,11516.8,224,282,31852,29698,11516.8,10917.0,8379.0,21652,2348.1,2347.7,7732
P60,kamaladafrica/codice-fiscale,16,51.1,258.7,494.9,515.9,26,28,1310,1262,515.9,131.1,209.4,392,124.5,174.4,363
P63,lbehnke/hierarchical-clustering-java,15,30.6,86.5,115.6,110.3,52,22,9943,8262,110.3,94.3,119.6,8239,77.5,97.7,6502
P64,cowtowncoder/java-cachemate,23,41.5,130.0,152.4,156.6,13,16,333,291,156.6,122.4,140.8,207,114.1,130.8,198
P66,iris-edu/stationxml-seed-converter,23,312.0,1123.8,1273.0,1251.6,281,200,85613,59565,1251.6,1020.9,1109.7,52653,784.7,839.0,41645
P69,apache/dubbo-hessian-lite,9,14.3,108.9,80.7,98.0,41,68,1222,1210,98.0,88.6,88.5,934,79.1,71.1,919
P70,yomorun/hashids-java,19,42.8,291.7,378.0,388.7,19,31,726,684,388.7,219.0,276.7,604,206.7,250.4,564
P71,OWASP/url-classifier,16,107.4,673.8,853.2,834.6,101,167,156327,144449,834.6,516.6,635.2,124414,236.3,266.7,24296
P73,leonhad/paradoxdriver,50,162.8,1305.4,1478.2,1093.1,258,116,112928,84344,1093.1,1336.4,990.4,74977,1160.8,832.1,45151
P75,opengeospatial/ets-ogcapi-features10,18,163.1,1511.1,1873.0,2222.9,808,476,93252,93445,2222.9,1377.7,1872.2,91574,667.7,984.1,49481
P78,kungfoo/geohash-java,31,64.4,229.8,386.1,423.3,126,118,4603325,4120782,423.3,213.3,352.0,3676278,174.1,299.8,2549419
P79,kohsuke/wordnet-random-name,6,9.5,33.2,40.9,34.3,6,0,30,26,34.3,27.6,30.5,22,23.6,25.1,18
P80,tdebatty/java-LSH,21,574.3,2393.7,2494.8,1361.8,5,0,23965,7482,1361.8,1363.0,1110.9,7448,1012.0,1069.0,7422
P81,Francesco149/koohii,9,20.5,51.2,66.5,69.8,10,8,33403,13998,69.8,60.8,71.4,13998,57.7,62.3,13294
P84,MagicTheGathering/mtg-sdk-java,16,74.4,561.0,718.2,835.9,161,93,76449,67620,835.9,456.9,607.8,62762,134.3,173.1,7229
P85,thomasmueller/minperf,11,55.1,247.5,534.0,386.9,13,5,4622,3070,386.9,137.5,185.5,1304,124.5,168.1,1231
P87,OnlineCodex/OnlineCodex,50,176.9,1308.3,1961.2,2166.5,40,25,1308477,1308743,2166.5,1408.5,2095.7,1301283,421.3,481.7,9245
P93,jenkins-infra/update-center2,14,364.7,1547.6,1799.9,1902.8,84,75,125751,123955,1902.8,1366.3,1627.0,114338,587.5,658.5,100001
P94,bdupras/guava-probably,34,218.6,925.7,1055.3,978.7,156,94,7888,6340,978.7,587.3,656.2,4486,456.4,487.5,1331
P95,serg472/htmlcompressor,11,20.2,542.2,674.9,823.2,53,47,126496,124708,823.2,481.6,687.7,113083,53.3,71.3,11780
P96,killbilling/recurly-java-library,50,259.9,4058.6,4886.9,3774.4,196,164,79862,46775,3774.4,3828.3,3385.9,44596,927.7,1022.5,9099
P97,Kuangcp/NettyBook2,7,14.3,54.0,67.1,69.6,2,0,80,80,69.6,47.4,52.9,32,45.6,49.1,32
P100,xcsp3team/XCSP3-Java-Tools,19,61.9,298.2,320.0,323.1,134,2,70044,56998,323.1,273.3,308.8,56464,214.0,237.5,40010
P101,apache/commons-jxpath,39,110.5,849.8,1211.6,1017.9,211,218,53831,30615,1017.9,456.5,658.5,17627,351.4,509.4,11866
P103,pagehelper/Mybatis-PageHelper,42,223.9,2538.2,2896.2,3522.7,559,442,124077,73531,3522.7,2176.0,2781.7,64494,747.2,921.4,18168
P104,kolchagov/java-crud-api,7,11.7,80.2,127.2,136.1,110,80,23495,23210,136.1,95.7,145.9,22154,76.1,112.6,17134
P105,NLPchina/ansj_seg,18,160.8,638.7,908.6,495.4,145,124,182439,149040,495.4,430.6,479.4,138372,345.5,388.5,64063
P106,aelstad/keccakj,18,299.6,370.1,438.5,443.3,57,78,1294,1191,443.3,344.8,391.9,849,337.7,367.2,827
P111,Mastercard/oauth1-signer-java,24,87.3,416.3,457.4,505.6,52,57,3342,3076,505.6,403.4,459.4,2398,292.1,314.4,1123
P114,j256/simplemagic,49,109.3,359.6,410.7,441.6,148,203,67298,58399,441.6,334.2,416.8,49991,285.7,322.3,21503
P115,fortitudetec/sonar-ruby-plugin,6,10.3,188.1,376.3,503.4,58,54,66678,82445,503.4,175.7,456.0,82857,91.7,221.4,35600
P116,HelixNetwork/pendulum,50,841.6,6573.8,9560.3,10862.7,778,436,1464255,1431420,10862.7,6176.8,9857.0,1391522,2080.8,3962.7,807142
P117,HdrHistogram/HdrHistogram,4,19.1,37.9,53.6,54.0,61,45,5294,3054,54.0,37.2,46.4,2799,33.4,39.0,2709
P119,jarslab/babel-maven-plugin,10,112.2,486.4,511.2,576.6,258,112,14954,10108,576.6,354.6,438.4,7568,305.7,343.6,6589
P123,uwolfer/gerrit-rest-java-client,50,159.6,2047.0,2228.1,2704.4,1111,1225,124363,113751,2704.4,1872.1,2365.9,105626,948.4,1155.2,37879
P126,vangj/jbayes,50,92.5,1145.3,1250.1,1336.7,285,253,49439,35126,1336.7,684.4,834.7,26045,294.3,371.9,15653
P127,andylamp/BPlusTree,13,1733.5,1947.7,1913.1,1900.0,26,56,15379,15444,1900.0,1966.0,1913.8,15436,1918.2,1868.0,12940
P128,ThoughtWire/hazelcast-locks,13,499.0,774.2,728.6,751.6,74,108,97482,97051,751.6,698.0,689.0,97808,553.8,554.8,7839
P129,jdbc-observations/datasource-proxy,50,202.5,3101.4,3338.0,3328.8,372,572,218325,114427,3328.8,2109.9,2329.4,100941,880.1,1044.8,26074
P130,apache/sling-org-apache-sling-servlets-resolver,36,103.2,1896.3,1826.2,2211.7,186,83,83376,37548,2211.7,1248.6,1230.9,16491,1247.3,1181.7,16493
P135,davidmoten/hilbert-curve,50,424.2,737.4,1309.1,1211.7,100,63,7948,5129,1211.7,613.3,1076.2,3999,545.2,797.0,2715
P136,theborakompanioni/thymeleaf-extras-shiro,19,20.6,88.0,108.2,125.1,98,62,17965,17659,125.1,91.3,112.2,13801,89.0,107.9,11084
P137,osglworks/java-tool,8,24.0,302.4,344.3,336.3,95,239,14745,13153,336.3,295.5,281.0,11846,232.6,195.8,7592
P138,Fundynamic/dune2themaker4j,50,245.6,1182.4,1347.4,1475.2,722,327,77866,49983,1475.2,1049.3,1237.3,48796,704.7,820.8,25825
P143,JavaMoney/jsr354-ri-bp,7,540.7,601.1,626.6,429.0,76,30,4095,2321,429.0,320.1,332.1,1787,298.5,305.1,1261
P144,robert-bor/aho-corasick,30,50.9,167.6,329.1,355.2,148,492,8616,6847,355.2,192.1,301.3,6028,163.4,266.7,3938
P145,albfernandez/itext2,14,55.8,656.1,698.6,896.2,280,247,94881,81365,896.2,630.9,798.9,72863,412.6,502.4,50473
P146,hageldave/ezFFTW,50,101.8,287.6,379.3,395.7,12,154,5508,5025,395.7,255.8,286.7,2307,207.7,229.3,435
P148,apache/sling-org-apache-sling-scripting-sightly,34,88.0,1738.6,1766.5,2071.3,186,123,100036,49709,2071.3,1349.1,1398.6,29964,1249.8,1261.9,26744
P149,zencoder/zencoder-java,12,219.0,330.6,331.5,356.5,89,57,9417,7571,356.5,339.9,334.8,7442,243.3,271.3,2768
P151,radkovo/Pdf2Dom,6,15.0,207.3,263.0,287.0,364,264,34879,23357,287.0,210.4,257.7,22837,115.6,144.8,13643
P152,tomwhite/set-game,11,1533.0,1743.1,1792.1,1770.6,30,14,397579,374483,1770.6,1773.7,1750.3,374154,1562.5,1582.4,33395
P154,searls/jasmine-maven-plugin,14,103.5,1039.7,1104.6,1285.5,843,318,143079,98863,1285.5,1012.6,1149.3,98118,786.1,927.1,71807
P155,contentful/contentful.java,41,378.9,2309.1,2446.5,2821.4,651,341,120090,72923,2821.4,1810.8,2105.9,65115,925.7,1056.6,25542
P157,sangupta/murmur,5,15.8,44.0,370.6,388.4,0,31,213,213,388.4,34.7,265.8,133,33.2,265.1,128
P159,qoomon/banking-swift-messages-java,9,18.0,466.4,480.9,545.0,216,112,19839,12378,545.0,316.3,376.5,10985,99.8,129.0,4504
P160,ITArray/automotion-java,43,151.6,1194.6,1346.9,1575.4,203,189,105011,81390,1575.4,1140.8,1379.1,77777,625.0,743.5,23350
P161,jnr/jnr-ffi,50,199.4,2089.3,2640.3,4671.4,485,219,112440,101307,4671.4,3418.6,4499.0,90975,3218.8,4244.0,72073
P163,dakusui/jcunit,4,26.8,1450.5,1471.3,527.2,116,76,31607,29501,527.2,1631.3,515.0,29377,759.1,318.8,24860
P164,eightbitjim/cassette-nibbler,21,47.5,4473.8,7248.3,1877.5,104,31,945550,944539,1877.5,4952.0,1801.4,939703,524.2,562.2,216717
P166,fusion-jena/JaroWinklerSimilarity,10,49.2,1406.6,1050.7,950.2,32,30,37432,35854,950.2,889.1,618.7,23951,902.7,613.5,23789
P167,indeedeng/vowpal-wabbit-java,4,160.4,930.8,1063.4,460.6,31,58,801,494,460.6,522.4,449.5,491,391.9,356.4,381
P168,sbesada/java.math.expression.parser,12,15.8,253.2,305.1,279.1,13,12,1624,1297,279.1,260.2,269.0,1155,231.8,239.7,913
P169,StarlangSoftware/TurkishMorphologicalDisambiguation,18,444.3,8362.1,8978.8,5809.2,77,69,521629,458917,5809.2,8536.0,5635.6,413101,1995.3,1936.1,98632
P170,jingpeicomp/id-generator,5,38.2,181.5,171.2,172.7,14,6,352,352,172.7,210.8,181.0,354,218.2,181.0,352
P171,hoijui/Jawk,10,16.0,143.1,155.3,170.9,63,133,2842,2050,170.9,119.5,147.8,1774,62.7,74.2,762
P172,Progether/JAdventure,26,35.0,255.1,308.2,340.7,59,46,8326,5790,340.7,239.7,324.1,5355,124.3,153.9,1456
P173,PeterisP/morphology,34,441.8,13778.8,12752.8,6683.5,610,785,1547782,1448117,6683.5,14714.1,6368.4,1304827,5507.2,3515.7,296178
P174,tkutcher/jgrade,16,52.1,118.5,141.0,155.7,91,40,1854,1630,155.7,120.6,151.1,1246,100.9,118.1,602
P178,Ingenico-ePayments/connect-sdk-java,50,101.5,1146.3,1389.3,1748.6,435,536,51808,41067,1748.6,1044.5,1386.4,38670,432.2,552.3,10621
P179,Sayi/swagger-diff,10,14.5,195.9,218.6,245.7,229,76,16912,11337,245.7,196.9,229.6,11285,117.1,140.4,5998
