project-id,project,project fullname,sha
1,agarciadom-xeger,agarciadom/xeger,f3b8a33b0f4438d639150b57b9a0257d50c71bc2
2,albfernandez-javadbf,albfernandez/javadbf,395265f33bcf9080b02f2102c4b6284921cefae2
3,almondtools-stringsearchalgorithms,almondtools/stringsearchalgorithms,19f26f1c06192816b1ff2fb3b86740898d50a44d
4,almson-almson-refcount,almson/almson-refcount,ded7fe38d1e84f2af98f1d845d30fcc46aad197b
5,Antibrumm-jackson-antpathfilter,Antibrumm/jackson-antpathfilter,40f3af16e9a32fec910fadfde144c4b58217d5e7
6,awslabs-route53-infima,awslabs/route53-infima,cabce497698e41d610a949e8a5e4a0528170382b
7,cocolian-cocolian-nlp,cocolian/cocolian-nlp,b82e28238261b12180cdbae11097e320824d87bb
8,codelion-gramtest,codelion/gramtest,355cf41dcf0904e8d28aeb220241df0137c789ca
9,conveyal-osm-lib,conveyal/osm-lib,4ff7fef141296ffe1d47a89ad40cefda7311566d
10,cowtowncoder-java-uuid-generator,cowtowncoder/java-uuid-generator,31408f5c088d27766269f905896efe383b38a46e
11,danieldk-dictomaton,danieldk/dictomaton,b23b48ba03ec43c0ce2ef1be85c0cbb8203a87b2
12,davidmoten-bplustree,davidmoten/bplustree,761c1da3772772260520c41d9e9be8405931b4e5
13,davidmoten-rtree,davidmoten/rtree,f1da3d62dbdab20654b63da91510c51a32e8b8a8
14,davidmoten-rtree2,davidmoten/rtree2,7da3d606a192321217f6b780b6ab4fdcd8e3e1ed
15,davidmoten-rtree-multi,davidmoten/rtree-multi,858da976228add017a4c9180e1e3968a26dedb4c
16,dperezcabrera-jpoker,dperezcabrera/jpoker,e771da71c3c5dc25b99355e41491933e78732e3e
17,flipkart-incubator-databuilderframework,flipkart-incubator/databuilderframework,d739c964a4dda5fa212a5c52da61bc39d62ebe3a
18,fraunhoferfokus-Fuzzino,fraunhoferfokus/Fuzzino,75d20f05db8dfbfe035a6df0b9eb7c88703886fc
19,ghaffarian-progex,ghaffarian/progex,b8c75255305ba45dbcf7d895f81f415375edcd5e
20,Grundlefleck-ASM-NonClassloadingExtensions,Grundlefleck/ASM-NonClassloadingExtensions,8eb992f35817b2ef884a8dcaa502f829d85e5f90
21,hlavki-jlemmagen,hlavki/jlemmagen,43f7c636811a1f7fea7ae7db403ec6f3ec60e9b7
22,houbb-sensitive-word,houbb/sensitive-word,344edf54f635c24e036dff4862d19a52603347c7
23,huaban-jieba-analysis,huaban/jieba-analysis,e46e44ba2c7b8534a9b489801f4ce0d38378ad1a
24,jahlborn-jackcess,jahlborn/jackcess,22bf8a8642c84fc500f5c66ef59de1f7211f93a3
25,kapoorlabs-kiara,kapoorlabs/kiara,40d11fb7e8d295c374f63d0e3b83d553d5374736
26,lexburner-consistent-hash-algorithm,lexburner/consistent-hash-algorithm,a8e712fee24a1982f263d2f58ec770bfe34ac7e8
27,LiveRamp-HyperMinHash-java,LiveRamp/HyperMinHash-java,9f5267dbaab4d82dcaf2eff4ceb4d9a1599bfeae
28,lukfor-pgs-calc,lukfor/pgs-calc,27fbf7f069e8fded26262094e87fe9d0c6ad6a16
29,MezereonXP-AnomalyDetectTool,MezereonXP/AnomalyDetectTool,03db9e457cb9d1866c82c5d24618fbabcbdf48a8
30,mimno-Mallet,mimno/Mallet,ff204eb8aa7f414e779f37843fb68b3e1fdc7015
31,mocnik-science-geogrid,mocnik-science/geogrid,702f29dffa36d82edf9744a79400a63fa7dde4db
32,myui-btree4j,myui/btree4j,4688aee221eaf2cf8972556a35cd6c49278ef2e0
33,octavian-h-time-series-math,octavian-h/time-series-math,4fad82278e42307458a9faa46c2f13e2ac9816c6
34,renfei-ik-analyzer,renfei/ik-analyzer,ce4e534d99528270d96639230275a81f4df7e118
35,romix-java-concurrent-hash-trie-map,romix/java-concurrent-hash-trie-map,03335a9caa6fc867344c8c015d6dfc2d11ab062f
36,solita-functional-utils,solita/functional-utils,bf42b0192232c06ae6c50725c352cecca844b3f4
37,spullara-java-future-jdk8,spullara/java-future-jdk8,5925719802af19ccc6602651fc243b2ff3726b4b
38,StarlangSoftware-TurkishDeasciifier,StarlangSoftware/TurkishDeasciifier,982c11d344788ed572a392a944a73993f83d5982
39,StarlangSoftware-TurkishPropBank,StarlangSoftware/TurkishPropBank,d99aae1239f782b42b077ce8e1a2b7e8e6ac716f
40,StarlangSoftware-TurkishSentiNet,StarlangSoftware/TurkishSentiNet,636ab8932a35d78033e8e501221c386521a8cbb3
41,StarlangSoftware-TurkishSpellChecker,StarlangSoftware/TurkishSpellChecker,0b81eabd080b1a12fc94d08b49b7a094785a9601
42,Sweetiee-yi-Jaba,Sweetiee-yi/Jaba,6c5e46516fe63265c2d414ab94f52fe349ac1ebf
43,wiqer-ef-redis,wiqer/ef-redis,bf067469f6f632b7b1cb1c17bd1377d1d6784328
44,zhoujianling-PointCloudUtilities,zhoujianling/PointCloudUtilities,300e156f74278522d7fd7edec7ad4ce0307da622
45,palindromicity-simple-syslog,palindromicity/simple-syslog,aea2990ca8e29d027f6514d0993a1ba84662e69f
46,graphstream-gs-core,graphstream/gs-core,950b87280075f92a85b564b47ce6522ced5ba53a
47,jordw-heftydb,jordw/heftydb,d96a243782f706c60aea852fbf9f607b0b1656d0
48,StarlangSoftware-TurkishMorphologicalAnalysis,StarlangSoftware/TurkishMorphologicalAnalysis,26450b47db92b64580a2bfa4a0d7d0bce38edd49
49,houbb-segment,houbb/segment,7dd1eb26315c1fd7e86456826ef01e4d3ed72062
50,sangupta-bloomfilter,sangupta/bloomfilter,5c7769f7ed19cc0eb2860cc0e1d4c0159830cd9e
51,JetBrains-jetCheck,JetBrains/jetCheck,8a7b755816887ec6ace8ad68b581cbb4c3f46cad
52,apanimesh061-VaderSentimentJava,apanimesh061/VaderSentimentJava,4312a20028402f9e19b7a0151d995cac85d65612
53,zhkl0228-TraceReader,zhkl0228/TraceReader,4b34e02c40d2608867cfb62928afda1b784f28c9
54,paypal-Gibberish-Detector-Java,paypal/Gibberish-Detector-Java,8bb3484b2ee90bcec9f3d7adc2c861d27bf58cf7
55,apache-commons-imaging,apache/commons-imaging,d3b3b534198d2b0b631379515e2b53905b425e70
56,confluentinc-kafka-connect-datagen,confluentinc/kafka-connect-datagen,d9658e762164745654e222086c9636fb1889cda2
57,ysc-word,ysc/word,daa57fa34645e39c6e0214d1f4698134963b65be
58,thegedge-java-radix-tree,thegedge/java-radix-tree,92498d5b084fdc9dba840ded3fd1f8dcd1724dce
59,mvel-mvel,mvel/mvel,236d37bc78a158553592afedbbf1aa27815efb78
60,kamaladafrica-codice-fiscale,kamaladafrica/codice-fiscale,d66e729346a8d775968fa4b697a95598a7103375
61,iquadrat-sbb-train-scheduler,iquadrat/sbb-train-scheduler,22d669cf30bdd28bb750ce558b4d1e36b7a722c4
62,ThreeTen-threetenbp,ThreeTen/threetenbp,bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341
63,lbehnke-hierarchical-clustering-java,lbehnke/hierarchical-clustering-java,266bdb63aa926d49e14f9083cf4f78987f47175d
64,cowtowncoder-java-cachemate,cowtowncoder/java-cachemate,cabd2109bf9960cd89688a7ec69d014c9d116532
65,tdunning-bandit-ranking,tdunning/bandit-ranking,2c637a9a71e53ed3c7f70e1fc8450a54b2f8e483
66,iris-edu-stationxml-seed-converter,iris-edu/stationxml-seed-converter,7526c0b8fd214af02a767142d97638e7bc129dd9
67,yurelle-Base45Encoder,yurelle/Base45Encoder,ec345e84e7309b5df663facb7ee89c25abacc7ad
68,bonnyfone-vectalign,bonnyfone/vectalign,63806ac71ebd5d9472bf97893b3ec6c5741b5735
69,apache-dubbo-hessian-lite,apache/dubbo-hessian-lite,ca001b4658227d5122f85bcb45032a0dac4faf0d
70,yomorun-hashids-java,yomorun/hashids-java,039da8c2af0d3ad485b3fa57afdde56248f641f3
71,OWASP-url-classifier,OWASP/url-classifier,8715ef5f8d5623b8023b6c59b931621431188f21
72,printingin3d-javascad,printingin3d/javascad,2b3d0ad2f47e395b8d1d14b9c489f520933f905e
73,leonhad-paradoxdriver,leonhad/paradoxdriver,de3a6ad18b6c7f1d461383876339dc8086beaead
74,nothingax-micro-DB,nothingax/micro-DB,1bbae368f7670f94130606fa65bcbc8ccbb89b98
75,opengeospatial-ets-ogcapi-features10,opengeospatial/ets-ogcapi-features10,1a181e97d4bbe5a9a68d0fc8eae6f21ea82a6d1c
76,thomasmueller-tinyStats,thomasmueller/tinyStats,4662ddca73d34cd4214fee54b732d6dd74445a03
77,sonatype-heuristic-version,sonatype/heuristic-version,9fe33a49d74acec54ddb91de9a3c3cd2f98fba40
78,kungfoo-geohash-java,kungfoo/geohash-java,6e9a2ba881cbfee23721b7c017c5717647beed20
79,kohsuke-wordnet-random-name,kohsuke/wordnet-random-name,3882e68fb81e1a2780016d99a78f5edc28d1f3a0
80,tdebatty-java-LSH,tdebatty/java-LSH,423fc19894f464968a0968bda7869d8532ffd3c0
81,Francesco149-koohii,Francesco149/koohii,b5eda610c727576900ad450ff7ced14124d88bae
82,joniles-mpxj,joniles/mpxj,91540932b1db27a525f1ee9e9fb9d878acedfc74
83,palatable-lambda,palatable/lambda,d360ae809f27670219523e8819b4c0e65a36dd94
84,MagicTheGathering-mtg-sdk-java,MagicTheGathering/mtg-sdk-java,5663cd4dcf7a3dd5620f0a17433e1cf6491abee6
85,thomasmueller-minperf,thomasmueller/minperf,f97c859b5c4acbb9f5e499a2ab6735f954f38460
86,rohanpadhye-vasco,rohanpadhye/vasco,ddc0102721275e11669c9be6ac3c2bfe8abc2e13
87,OnlineCodex-OnlineCodex,OnlineCodex/OnlineCodex,f4f389580d542da2849abaa120e6e765461748bc
88,twitter-sbf,twitter/sbf,41afeaeb6de374dd0cb30aaa9ba6cd618e546de6
89,simplenlg-simplenlg,simplenlg/simplenlg,47686090f52c5bf873f77fa6139c34aac1ea8ec3
90,contentful-contentful-management.java,contentful/contentful-management.java,59cd693a9de39e7236d4479063d95ef67804b725
91,dhatim-business-hours-java,dhatim/business-hours-java,d41cdf0d8868a7d67b0a666fa513d0ae18e5c243
92,Heroicai0101-abtest,Heroicai0101/abtest,af4fee940ce65e2cb91ce9b7fd1472748131cac5
93,jenkins-infra-update-center2,jenkins-infra/update-center2,5b1203f26470aa07d226974b599e53315a270a92
94,bdupras-guava-probably,bdupras/guava-probably,63e95719536318051bf940eed25130c0cfccc256
95,serg472-htmlcompressor,serg472/htmlcompressor,2929cdc01849de569fabfe38e54e531fcc4b1f4d
96,killbilling-recurly-java-library,killbilling/recurly-java-library,c63045f2b1fb3e8015ab7f6743a02402ab28a9f4
97,Kuangcp-NettyBook2,Kuangcp/NettyBook2,2a8472cc970f91c8d7d8c93b6436c3d2370a3e30
98,dernasherbrezon-jradio,dernasherbrezon/jradio,3fd14432f75d291165fdc8b6f8d261d6607ff217
99,MottoX-TAOMP,MottoX/TAOMP,44233bce3fbf341625aaa7062db8c0562483df7e
100,xcsp3team-XCSP3-Java-Tools,xcsp3team/XCSP3-Java-Tools,1567b06e77cb2a8b73a1ce65e4773cbf08f59ce0
101,apache-commons-jxpath,apache/commons-jxpath,f3fa43f917aaca206a065c9ad311e43af61dbed5
102,apache-commons-codec,apache/commons-codec,634ac7caba17b3610e8fe3dd19f9f05faf4d1f94
103,pagehelper-Mybatis-PageHelper,pagehelper/Mybatis-PageHelper,30dd0f31e05513f5c6782c241ad10d8e17bf2391
104,kolchagov-java-crud-api,kolchagov/java-crud-api,53a1c631747bf3202b7e19f84b43f547a6b63004
105,NLPchina-ansj_seg,NLPchina/ansj_seg,50787ca2c7031d2a18c5393a97d1a54432790785
106,aelstad-keccakj,aelstad/keccakj,07185d29fb6c881570e2d7fd2b160460626dc130
107,aseldawy-spatialhadoop2,aseldawy/spatialhadoop2,225ddf51118313390d3aaf663032d4ccf0b3f1a1
108,xspec-xspec-maven-plugin-1,xspec/xspec-maven-plugin-1,6e0c050f9deba003d998502df770b1875c051626
109,jahlborn-jackcessencrypt,jahlborn/jackcessencrypt,c8c314c398fb4dd540aa84c7bf7b0e393cb304c4
110,reckart-tt4j,reckart/tt4j,2a4fa8280b6fe60b72426bdac10794b5feb5d39f
111,Mastercard-oauth1-signer-java,Mastercard/oauth1-signer-java,0eb862373f40f276a1e034773159f665466f5e68
112,stefanbirkner-fake-sftp-server-rule,stefanbirkner/fake-sftp-server-rule,9f594bec8ac230267a5f411a98749ec04205af93
113,indeedeng-mph-table,indeedeng/mph-table,7d9cd3db50e5d0c7f3985bba426483f8681c0120
114,j256-simplemagic,j256/simplemagic,fdd5e5b519ed60a2e4c83db13ae2ccdb0700e87f
115,fortitudetec-sonar-ruby-plugin,fortitudetec/sonar-ruby-plugin,3d82c28e5e46fe2a5b9cb6149877b79a3a969a8f
116,HelixNetwork-pendulum,HelixNetwork/pendulum,919ae1df7ca4359aad6b9a4575beb9d3ca4de8ef
117,HdrHistogram-HdrHistogram,HdrHistogram/HdrHistogram,3904a74e1896c22dc8a8afb0b29176a04fee7a28
118,delving-x3ml,delving/x3ml,df456fc49f91e9b1ebb082571c8df407e6ecc73a
119,jarslab-babel-maven-plugin,jarslab/babel-maven-plugin,2d2d11ba1075f63777c1f68dfc441ec3eb76553e
120,Ant-Grand-Grand,Ant-Grand/Grand,d1d17173637a4924605b5c1f14742fc72fe82c74
121,arnaugarcia-sallefy,arnaugarcia/sallefy,0f4c800a096a8f3427059e07e63cf872ad033177
122,davidmoten-rxjava-extras,davidmoten/rxjava-extras,9c291e7362a5a3057508692badaf0ef0c3cccd15
123,uwolfer-gerrit-rest-java-client,uwolfer/gerrit-rest-java-client,92f293c9f23e64ea02edb99e860d0d4405eb70d5
124,jillesvangurp-osm2geojson,jillesvangurp/osm2geojson,a2b4f2e2c0ca08cd64a125200e393946e8c6af6c
125,supercargo-guice-persist-jooq,supercargo/guice-persist-jooq,362ba1e16019656fde17c47cdc9252c9a0bc5177
126,vangj-jbayes,vangj/jbayes,4f3a542a4cab356b2b4a3d5d735ae0346429ef2d
127,andylamp-BPlusTree,andylamp/BPlusTree,7911be7e6606df45ccd981ed685ab5f5afbd7cba
128,ThoughtWire-hazelcast-locks,ThoughtWire/hazelcast-locks,b32db236697470f2b42853b604e17c5507606c0a
129,jdbc-observations-datasource-proxy,jdbc-observations/datasource-proxy,3c4b1683465971aec08eb5e3f129f18f6fa0d36a
130,apache-sling-org-apache-sling-servlets-resolver,apache/sling-org-apache-sling-servlets-resolver,75e62e657fc0b2dbbc90287cba23a24116152fce
131,zhaolihe-useragent-parser,zhaolihe/useragent-parser,af8e7f79fbb5c806a9b0e52370ef69c1ff848562
132,pizihao-crow,pizihao/crow,d84e34dff84e70ab828c264c60bbd4a73a6b05d0
133,apache-commons-compress,apache/commons-compress,ca1052f1347e301b46b1224d6b92198699663763
134,iotaledger-cliri,iotaledger/cliri,1f974cafb1c17d96ae7e0a6856f563dcf3794238
135,davidmoten-hilbert-curve,davidmoten/hilbert-curve,7800bc77a76b65432072cb8475716d09678c766b
136,theborakompanioni-thymeleaf-extras-shiro,theborakompanioni/thymeleaf-extras-shiro,313f7d6d7f7e0e8b8dca64092d3422faa308b559
137,osglworks-java-tool,osglworks/java-tool,3e60f5b35b18c0ba75c664b24a70e2cdb79ac15c
138,Fundynamic-dune2themaker4j,Fundynamic/dune2themaker4j,6c458fd85dcb0d0a761164db245ff36f0f98130b
139,rythmengine-rythmengine,rythmengine/rythmengine,3439bd728c8e95927cea9146b5d6b59a30c3c516
140,jsonld-java-jsonld-java,jsonld-java/jsonld-java,4a7305f26af38b47336fe28ba506a5f2ce0aae43
141,intive-FDV-DynamicJasper,intive-FDV/DynamicJasper,7eed376afc9cb45a7f4c6080fb823ff30b237346
142,AAA-AA-basic-tools,AAA-AA/basic-tools,fc7594c6531d4d758718348dc1cf4dc6c91cfcc2
143,JavaMoney-jsr354-ri-bp,JavaMoney/jsr354-ri-bp,d1b6a633e72e40f5167a05a33bfcc7888bed8ab5
144,robert-bor-aho-corasick,robert-bor/aho-corasick,e68720d0afd51093fbba1232edf154ad71a62ac3
145,albfernandez-itext2,albfernandez/itext2,5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0
146,hageldave-ezFFTW,hageldave/ezFFTW,20d97041dfde6731bbfc02980cf2b581c62161ec
147,dnsjava-dnsjava,dnsjava/dnsjava,206c9e51ac18e1ed6f82beb16cb6c0ff1f83b095
148,apache-sling-org-apache-sling-scripting-sightly,apache/sling-org-apache-sling-scripting-sightly,690a818692bd08c3f6a49e842ea530cc3e60e3ad
149,zencoder-zencoder-java,zencoder/zencoder-java,5217bddb27e25966ff704d007728a4e90e9dc6d1
150,firebase-firebase-admin-java,firebase/firebase-admin-java,bd6b207a664aca510a3d78ac8d729e6a557b85d3
151,radkovo-Pdf2Dom,radkovo/Pdf2Dom,e19af5b44675c8a60a5c3597517f065ebaef88ec
152,tomwhite-set-game,tomwhite/set-game,bd047ece2f07e483f39fa41ba1170d9afd9a768c
153,mangstadt-biweekly,mangstadt/biweekly,5baf97e7f64d1daf0c4f6277b3600021be28303e
154,searls-jasmine-maven-plugin,searls/jasmine-maven-plugin,0a1425c09636aef885a22a86165664adb81bee95
155,contentful-contentful.java,contentful/contentful.java,184e5c7fdfaa49455b56afc5da67a68bbecf1515
156,ctapweb-AutoSubClause,ctapweb/AutoSubClause,b2e586fbb20122b132d9af995bb6ad2bd92f7582
157,sangupta-murmur,sangupta/murmur,05b67df5ac4e84a66576e3f469c764bfdacb75d2
158,iipc-webarchive-commons,iipc/webarchive-commons,7cb3784cea86feedae335e7ec45ba46e924099d9
159,qoomon-banking-swift-messages-java,qoomon/banking-swift-messages-java,438aaeeae2128d9bf6f4e7db2236bb8d61f32f44
160,ITArray-automotion-java,ITArray/automotion-java,3e1678f4856da4edea5f458d811584af9a81090f
161,jnr-jnr-ffi,jnr/jnr-ffi,59d3f61555699456dddd064531140653faf1e2bf
162,attoparser-attoparser,attoparser/attoparser,e1049dcd8261fe315b679029e711a9f5ea03f1cc
163,dakusui-jcunit,dakusui/jcunit,5e081ae71f7e1ab8326aed77612a97c983c9dc06
164,eightbitjim-cassette-nibbler,eightbitjim/cassette-nibbler,788a04b49fe3d4c0905bd26109994d4952ad5db2
165,finmath-finmath-lib,finmath/finmath-lib,ad5d22e93e335cd88c95f8f2d7ba6336e3947e68
166,fusion-jena-JaroWinklerSimilarity,fusion-jena/JaroWinklerSimilarity,03266936fa5350724979d78fef4213a20189ed0a
167,indeedeng-vowpal-wabbit-java,indeedeng/vowpal-wabbit-java,3a9a92ac11a69d265656806e84bc9c05d138ef88
168,sbesada-java.math.expression.parser,sbesada/java.math.expression.parser,cc92f58f6074b21cf6f5d4056b7f7cc5168f50af
169,StarlangSoftware-TurkishMorphologicalDisambiguation,StarlangSoftware/TurkishMorphologicalDisambiguation,bf8dbc2cd835c67178eb896939ad1009b6743486
170,jingpeicomp-id-generator,jingpeicomp/id-generator,c388c1daca3b6da25f5eeef624aa172e2dce4867
171,hoijui-Jawk,hoijui/Jawk,33cfbc2bc14bc9c75fedccbe2963ef26b61543dc
172,Progether-JAdventure,Progether/JAdventure,bcc4611450b85a890d67f91a04ce059725b6d43c
173,PeterisP-morphology,PeterisP/morphology,1195adb7bb994292e5b06f2b20f4feb6191ca951
174,tkutcher-jgrade,tkutcher/jgrade,6049a0acfb17d829fb61488f9763913f3d7f65d7
175,simonnagl-netdata-java-orchestrator,simonnagl/netdata-java-orchestrator,e03ba0d9b72f31d3cdf23cd474866a6563519b4c
176,arangodb-jackson-dataformat-velocypack,arangodb/jackson-dataformat-velocypack,747d0066c08abd6aa449baf9248b7f5c2c5d1b19
177,bfh-evg-unicrypt,bfh-evg/unicrypt,2270dc25b55202134217da1de85fe922b6a31a57
178,Ingenico-ePayments-connect-sdk-java,Ingenico-ePayments/connect-sdk-java,1a2f7a9a25f22fc4c68345b9c8a7b372aab40025
179,Sayi-swagger-diff,Sayi/swagger-diff,e6abc1483ec90859aeba9d9ad4e7fd0368352d47